date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2014-03-27,1304,議借,20,0.5,19.7,2014-09-26,183
2014-04-07,1304,議借,244,0.01,19.85,2014-10-07,183
2014-04-17,1304,議借,171,0.01,20.15,2014-10-17,183
2014-04-23,1304,議借,716,0.01,20.15,2014-10-23,183
2014-05-05,1304,議借,182,0.01,19.0,2014-11-05,184
2014-05-09,1304,議借,37,0.01,19.35,2014-11-07,182
2014-06-17,1304,議借,200,3.0,19.45,2014-12-17,183
2014-06-23,1304,議借,200,3.0,19.35,2014-12-23,183
2014-07-04,1304,議借,100,0.01,19.55,2015-01-02,182
2014-07-14,1304,競價,154,1.5,19.25,2015-01-14,184
2014-07-15,1304,競價,19,1.5,19.4,2015-01-15,184
2014-07-17,1304,議借,200,4.0,19.5,2015-01-16,183
2014-08-22,1304,議借,264,4.0,15.9,2015-02-20,182
2014-09-02,1304,議借,254,0.01,16.0,2015-03-02,181
2014-09-15,1304,議借,280,0.01,15.75,2015-03-13,179
2014-09-18,1304,議借,50,0.01,15.3,2015-03-18,181
2014-09-25,1304,議借,48,0.01,15.3,2015-03-25,181
2014-10-03,1304,議借,246,0.01,15.35,2015-04-03,182
2014-10-20,1304,議借,700,3.0,14.05,2015-04-20,182
2015-01-08,1304,議借,178,0.01,18.7,2015-07-08,181
2015-01-09,1304,競價,200,1.5,18.85,2015-07-09,181
2015-01-14,1304,議借,531,0.01,19.0,2015-07-14,181
2015-01-15,1304,議借,357,0.01,18.55,2015-07-15,181
2015-01-22,1304,議借,400,0.01,18.8,2015-07-22,181
2015-02-02,1304,議借,400,0.01,17.85,2015-07-31,179
2015-02-10,1304,議借,190,0.01,17.9,2015-08-10,181
2015-02-10,1304,議借,304,0.01,17.9,2015-08-10,181
2015-03-02,1304,議借,500,0.01,16.9,2015-09-02,184
2015-03-17,1304,競價,30,1.5,16.5,2015-09-17,184
2015-04-07,1304,競價,23,1.5,16.15,2015-10-07,183
2015-04-09,1304,議借,100,0.01,15.8,2015-10-08,182
2015-04-13,1304,議借,75,0.01,16.0,2015-10-13,183
2015-04-14,1304,議借,170,0.01,16.25,2015-10-14,183
2015-04-15,1304,議借,170,0.01,16.35,2015-10-15,183
2015-04-24,1304,競價,90,1.5,16.15,2015-10-23,182
2015-05-19,1304,議借,200,0.01,15.15,2015-11-19,184
2015-05-22,1304,議借,205,0.01,14.75,2015-11-20,182
2015-07-20,1304,議借,936,0.01,12.6,2016-01-20,184
2015-07-24,1304,競價,200,1.5,12.25,2016-01-22,182
2015-08-14,1304,議借,352,0.01,10.85,2016-02-12,182
2015-08-26,1304,議借,300,0.01,11.2,2016-02-26,184
2015-08-26,1304,議借,500,0.01,11.2,2016-02-26,184
2015-09-04,1304,議借,700,0.01,12.7,2016-03-04,182
2015-09-11,1304,議借,570,0.01,13.0,2016-03-11,182
2015-10-13,1304,議借,452,0.01,14.2,2016-04-13,183
2015-10-14,1304,議借,200,0.01,14.0,2016-04-14,183
2015-10-15,1304,議借,1163,0.01,14.05,2016-04-15,183
2015-10-20,1304,議借,300,0.01,13.7,2016-04-20,183
2015-11-09,1304,議借,700,0.01,13.5,2016-05-09,182
2015-12-01,1304,議借,500,0.01,12.75,2016-06-01,183
2015-12-09,1304,議借,353,0.01,12.95,2016-06-08,182
2015-12-11,1304,議借,955,0.01,12.6,2016-06-08,180
2016-01-04,1304,競價,37,1.5,12.75,2016-07-04,182
2016-01-04,1304,競價,200,1.5,12.75,2016-07-04,182
2016-01-06,1304,競價,26,1.5,12.75,2016-07-06,182
2016-01-06,1304,競價,240,1.5,12.75,2016-07-06,182
2016-01-06,1304,議借,375,0.01,12.75,2016-07-06,182
2016-01-07,1304,競價,43,1.5,12.45,2016-07-07,182
2016-01-07,1304,議借,266,0.01,12.45,2016-07-07,182
2016-01-11,1304,競價,12,1.5,12.3,2016-07-11,182
2016-01-11,1304,競價,58,1.5,12.3,2016-07-11,182
2016-01-12,1304,競價,49,1.5,12.2,2016-07-12,182
2016-01-13,1304,議借,320,0.01,12.2,2016-07-13,182
2016-01-14,1304,競價,66,1.5,11.95,2016-07-14,182
2016-01-21,1304,競價,28,1.5,12.3,2016-07-21,182
2016-01-21,1304,競價,31,1.5,12.3,2016-07-21,182
2016-01-21,1304,競價,60,1.5,12.3,2016-07-21,182
2016-01-25,1304,議借,545,0.01,12.9,2016-07-25,182
2016-01-29,1304,競價,19,1.5,12.85,2016-07-29,182
2016-02-15,1304,競價,24,1.5,12.95,2016-08-15,182
2016-02-18,1304,議借,491,0.01,13.2,2016-08-18,182
2016-02-19,1304,議借,340,0.01,13.25,2016-08-19,182
2016-02-23,1304,競價,50,1.5,13.3,2016-08-23,182
2016-03-03,1304,競價,14,1.5,13.7,2016-09-02,183
2016-03-03,1304,競價,40,1.5,13.7,2016-09-02,183
2016-03-03,1304,競價,45,1.5,13.7,2016-09-02,183
2016-03-03,1304,競價,101,1.5,13.7,2016-09-02,183
2016-03-03,1304,競價,134,1.5,13.7,2016-09-02,183
2016-03-08,1304,競價,24,1.5,13.95,2016-09-08,184
2016-03-08,1304,競價,50,1.5,13.95,2016-09-08,184
2016-03-09,1304,競價,17,1.5,13.7,2016-09-09,184
2016-03-16,1304,議借,898,0.01,13.3,2016-09-14,182
2016-03-17,1304,議借,625,0.01,13.25,2016-09-14,181
2016-03-18,1304,議借,339,0.01,13.35,2016-09-14,180
2016-03-24,1304,競價,11,1.5,13.25,2016-09-23,183
2016-03-24,1304,競價,28,1.5,13.25,2016-09-23,183
2016-03-25,1304,競價,8,1.5,13.1,2016-09-23,182
2016-04-08,1304,議借,160,0.01,12.85,2016-10-07,182
2016-04-08,1304,議借,163,0.01,12.85,2016-10-07,182
2016-05-05,1304,議借,526,0.01,12.15,2016-11-04,183
2016-05-11,1304,議借,250,3.0,12.2,2016-11-11,184
2016-06-01,1304,議借,259,3.0,12.6,2016-12-01,183
2016-06-24,1304,競價,100,1.5,12.4,2016-12-23,182
2016-07-12,1304,議借,100,0.5,12.8,2017-01-12,184
2016-07-14,1304,競價,2,1.5,13.1,2017-01-13,183
2016-07-14,1304,競價,28,1.5,13.1,2017-01-13,183
2016-08-23,1304,議借,348,0.5,13.6,2017-02-23,184
2016-08-30,1304,競價,46,1.5,13.7,2017-02-28,182
2016-09-02,1304,競價,100,1.5,13.6,2017-03-02,181
2016-09-26,1304,競價,36,1.5,14.15,2017-03-24,179
2016-09-26,1304,競價,39,1.5,14.15,2017-03-24,179
2016-09-29,1304,議借,344,0.5,14.35,2017-03-29,181
2016-10-13,1304,競價,22,1.5,15.25,2017-04-13,182
2016-10-21,1304,議借,51,2.0,16.3,2017-04-21,182
2016-10-21,1304,議借,345,2.0,16.3,2017-04-21,182
2016-10-21,1304,議借,960,2.0,16.3,2017-04-21,182
2016-10-21,1304,議借,1356,3.0,16.3,2017-04-21,182
2016-10-31,1304,競價,6,1.5,15.4,2017-04-28,179
