stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
1465,2018-01-26,,4000,66500,67000
1465,2018-01-29,,5000,84050,84750
1465,2018-01-30,,2000,33300,33850
1465,2018-01-31,,2000,32800,33200
1465,2018-02-01,,1000,16500,16750
1465,2018-02-02,,2000,32400,32600
1465,2018-02-05,,1000,16000,16100
1465,2018-02-06,,15000,225700,224250
1465,2018-02-07,,1000,15050,15300
1465,2018-02-08,,0,0,0
1465,2018-02-09,,4000,58150,59100
1465,2018-02-12,,2000,29500,30050
1465,2018-02-21,,0,0,0
1465,2018-02-22,,2000,30200,30600
1465,2018-02-23,,0,0,0
1465,2018-02-26,,0,0,0
1465,2018-02-27,,1000,15050,15100
1465,2018-03-01,,5000,74150,75400
1465,2018-03-02,,1000,14900,15150
1465,2018-03-05,,0,0,0
1465,2018-03-06,,0,0,0
1465,2018-03-07,,1000,15000,15100
1465,2018-03-08,,0,0,0
1465,2018-03-09,,3000,45150,45300
1465,2018-03-12,,10000,150050,150800
1465,2018-03-13,,0,0,0
1465,2018-03-14,,0,0,0
1465,2018-03-15,,1000,15100,15250
1465,2018-03-16,,1000,15000,15100
1465,2018-03-19,,0,0,0
1465,2018-03-20,,0,0,0
1465,2018-03-21,,22000,335750,341700
1465,2018-03-22,,0,0,0
1465,2018-03-23,,0,0,0
1465,2018-03-26,,1000,15000,15100
1465,2018-03-27,,2000,30000,30000
1465,2018-03-28,,0,0,0
1465,2018-03-29,,0,0,0
1465,2018-03-30,,0,0,0
1465,2018-04-02,,2000,30000,30300
1465,2018-04-03,Y,0,0,0
1465,2018-04-09,Y,0,0,0
1465,2018-04-10,Y,1000,15200,15050
1465,2018-04-11,Y,0,0,0
1465,2018-04-12,Y,0,0,0
1465,2018-04-13,,0,0,0
1465,2018-04-16,,4000,59400,59800
1465,2018-04-17,,0,0,0
1465,2018-04-18,,0,0,0
1465,2018-04-19,,1000,14850,14950
1465,2018-04-20,,0,0,0
1465,2018-04-23,,0,0,0
1465,2018-04-24,,2000,29300,29700
1465,2018-04-25,,1000,14650,14850
1465,2018-04-26,,1000,14600,14800
1465,2018-04-27,,3000,43400,43800
1465,2018-04-30,,1000,14400,14550
1465,2018-05-02,,0,0,0
1465,2018-05-03,,1000,14500,14700
1465,2018-05-04,,0,0,0
1465,2018-05-07,,1000,14350,14600
1465,2018-05-08,,0,0,0
1465,2018-05-09,,4000,57600,57600
1465,2018-05-10,,3000,42600,42950
1465,2018-05-11,,0,0,0
1465,2018-05-14,,0,0,0
1465,2018-05-15,,0,0,0
1465,2018-05-16,,7000,98950,98700
1465,2018-05-17,,1000,14100,14050
1465,2018-05-18,,0,0,0
1465,2018-05-21,,0,0,0
1465,2018-05-22,,0,0,0
1465,2018-05-23,,1000,14200,14200
1465,2018-05-24,,0,0,0
1465,2018-05-25,,0,0,0
1465,2018-05-28,,0,0,0
1465,2018-05-29,,0,0,0
1465,2018-05-30,,0,0,0
1465,2018-05-31,,2000,28000,28100
1465,2018-06-01,,17000,234300,236000
1465,2018-06-04,,1000,14050,14300
1465,2018-06-05,,0,0,0
1465,2018-06-06,,1000,14050,14250
1465,2018-06-07,,5000,70650,71000
1465,2018-06-08,,0,0,0
1465,2018-06-11,,4000,56050,56400
1465,2018-06-12,,50000,755350,766800
1465,2018-06-13,,25000,376550,372050
1465,2018-06-14,,2000,29400,29800
1465,2018-06-15,,2000,29700,29850
1465,2018-06-19,,0,0,0
1465,2018-06-20,,1000,14300,14550
1465,2018-06-21,,0,0,0
1465,2018-06-22,,0,0,0
1465,2018-06-25,,0,0,0
1465,2018-06-26,,0,0,0
1465,2018-06-27,,0,0,0
1465,2018-06-28,,1000,14550,14800
1465,2018-06-29,,1000,14650,14750
1465,2018-07-02,,1000,14100,14400
1465,2018-07-03,,0,0,0
1465,2018-07-04,,0,0,0
1465,2018-07-05,,7000,98550,98200
1465,2018-07-06,,0,0,0
1465,2018-07-09,,4000,56100,56500
1465,2018-07-10,,0,0,0
1465,2018-07-11,,4000,56150,56550
1465,2018-07-12,,3000,42600,43050
1465,2018-07-13,,0,0,0
1465,2018-07-16,,0,0,0
1465,2018-07-17,,0,0,0
1465,2018-07-18,,0,0,0
1465,2018-07-19,,0,0,0
1465,2018-07-20,,0,0,0
1465,2018-07-23,,2000,28700,28850
1465,2018-07-24,,0,0,0
1465,2018-07-25,,0,0,0
1465,2018-07-26,,0,0,0
1465,2018-07-27,,1000,14400,14500
1465,2018-07-30,,0,0,0
1465,2018-07-31,,0,0,0
1465,2018-08-01,,0,0,0
1465,2018-08-02,,0,0,0
1465,2018-08-03,,1000,14300,14400
1465,2018-08-06,,0,0,0
1465,2018-08-07,Y,2000,29400,29400
1465,2018-08-08,Y,0,0,0
1465,2018-08-09,Y,0,0,0
1465,2018-08-10,Y,0,0,0
1465,2018-08-13,Y,0,0,0
1465,2018-08-14,,0,0,0
1465,2018-08-15,,0,0,0
1465,2018-08-16,,0,0,0
1465,2018-08-17,,0,0,0
1465,2018-08-20,,3000,41750,41450
1465,2018-08-21,,6000,81600,85200
1465,2018-08-22,,19000,271650,273850
1465,2018-08-23,,4000,55500,55850
1465,2018-08-24,,1000,14000,13950
1465,2018-08-27,,0,0,0
1465,2018-08-28,,0,0,0
1465,2018-08-29,,1000,13900,14000
1465,2018-08-30,,0,0,0
1465,2018-08-31,,0,0,0
1465,2018-09-03,,0,0,0
1465,2018-09-04,,0,0,0
1465,2018-09-05,,0,0,0
1465,2018-09-06,,0,0,0
1465,2018-09-07,,17000,245250,244100
1465,2018-09-10,,2000,28100,28450
1465,2018-09-11,,0,0,0
1465,2018-09-12,,0,0,0
1465,2018-09-13,,2000,27950,28200
1465,2018-09-14,,2000,28300,28850
1465,2018-09-17,,1000,14150,14250
1465,2018-09-18,,0,0,0
1465,2018-09-19,,0,0,0
1465,2018-09-20,,0,0,0
1465,2018-09-21,,9000,134500,134000
1465,2018-09-25,,3000,45000,44850
1465,2018-09-26,,6000,88000,89550
1465,2018-09-27,,0,0,0
1465,2018-09-28,,0,0,0
1465,2018-10-01,,1000,14700,14800
1465,2018-10-02,,2000,29100,29150
1465,2018-10-03,,0,0,0
1465,2018-10-04,,7000,101950,104650
1465,2018-10-05,,16000,240150,239650
1465,2018-10-08,,1000,14550,14700
