stock_id,stock_name,Date,Volume,Volume_Cash,Open,High,Low,Close,Change,Order
1342,八貫,2021-02-25,160010.0,9435700.0,58.60,60.00,58.60,58.60,0.1,96.0
1342,八貫,2021-02-26,79100.0,4613959.0,58.30,58.90,58.10,58.10,-0.5,67.0
1342,八貫,2021-03-02,100000.0,5863500.0,58.80,59.10,58.10,58.10,0.0,71.0
1342,八貫,2021-03-03,47000.0,2757500.0,58.20,59.10,58.10,59.00,0.9,41.0
1342,八貫,2021-03-04,52000.0,3047700.0,59.00,59.00,58.20,58.20,-0.8,43.0
1342,八貫,2021-03-05,21060.0,1236792.0,58.80,59.00,58.50,58.60,0.4,20.0
1342,八貫,2021-03-08,98031.0,5813109.0,58.80,59.70,58.80,59.50,0.9,86.0
1342,八貫,2021-03-09,96168.0,5705095.0,59.80,59.90,58.50,59.50,0.0,68.0
1342,八貫,2021-03-10,59030.0,3505970.0,59.60,59.60,59.10,59.10,-0.4,49.0
1342,八貫,2021-03-11,69000.0,4046500.0,59.10,59.20,58.00,58.50,-0.6,57.0
1342,八貫,2021-03-12,32296.0,1891921.0,59.40,59.40,58.30,58.70,0.2,31.0
1342,八貫,2021-03-15,49734.0,2897198.0,58.70,58.70,58.00,58.10,-0.6,51.0
1342,八貫,2021-03-16,44200.0,2577359.0,58.50,58.50,58.10,58.30,0.2,38.0
1342,八貫,2021-03-17,52035.0,3035500.0,58.20,58.50,58.20,58.50,0.2,45.0
1342,八貫,2021-03-18,44098.0,2568482.0,58.50,58.50,58.20,58.30,-0.2,34.0
1342,八貫,2021-03-19,76000.0,4400200.0,58.30,58.30,57.60,57.70,-0.6,65.0
1342,八貫,2021-03-22,65000.0,3751600.0,57.70,58.00,57.60,57.70,0.0,44.0
1342,八貫,2021-03-23,47013.0,2702919.0,57.70,57.70,57.30,57.40,-0.3,47.0
1342,八貫,2021-03-24,87014.0,4969882.0,57.40,57.40,57.00,57.10,-0.3,54.0
1342,八貫,2021-03-25,80000.0,4544100.0,57.80,57.80,56.60,56.60,-0.5,64.0
1342,八貫,2021-03-26,44560.0,2523126.0,56.60,56.80,56.50,56.60,0.0,41.0
1342,八貫,2021-03-29,68139.0,3871567.0,56.70,57.10,56.60,56.70,0.1,60.0
1342,八貫,2021-03-30,101000.0,5726500.0,56.70,57.20,56.60,56.60,-0.1,71.0
1342,八貫,2021-03-31,82300.0,4674910.0,56.60,56.90,56.60,56.90,0.3,49.0
1342,八貫,2021-04-01,25000.0,1422600.0,57.00,57.00,56.80,56.80,-0.1,21.0
1342,八貫,2021-04-06,74589.0,4219810.0,57.00,57.00,56.40,56.60,-0.2,67.0
1342,八貫,2021-04-07,58000.0,3283400.0,56.60,56.70,56.50,56.70,0.1,43.0
1342,八貫,2021-04-08,64216.0,3645474.0,56.70,56.90,56.60,56.70,0.0,57.0
1342,八貫,2021-04-09,224002.0,12980317.0,57.00,58.80,57.00,58.50,1.8,175.0
1342,八貫,2021-04-12,649392.0,39784489.0,59.70,63.20,59.70,62.00,3.5,531.0
1342,八貫,2021-04-13,316096.0,19412617.0,63.00,63.00,60.00,60.00,-2.0,267.0
1342,八貫,2021-04-14,165040.0,9796500.0,60.00,61.00,58.30,58.70,-1.3,138.0
1342,八貫,2021-04-15,105010.0,6176678.0,58.80,59.60,58.50,58.60,-0.1,80.0
1342,八貫,2021-04-16,71159.0,4189822.0,59.00,59.00,58.60,58.90,0.3,52.0
1342,八貫,2021-04-19,137189.0,8211880.0,58.90,61.10,58.90,59.80,0.9,104.0
1342,八貫,2021-04-20,69200.0,4140980.0,59.30,60.40,59.30,59.60,-0.2,61.0
1342,八貫,2021-04-21,77222.0,4560486.0,59.40,59.40,58.80,58.90,-0.7,68.0
1342,八貫,2021-04-22,123135.0,7268550.0,59.10,59.90,58.50,58.60,-0.3,97.0
1342,八貫,2021-04-23,63000.0,3671300.0,58.50,58.50,58.10,58.40,-0.2,51.0
